source_id,case_id,source_type,title,publisher_or_custodian,url,identifier,version_or_date,accessed_utc,retrieval_conditions,raw_path,file_size_bytes,sha256,license_or_terms,completeness,notes
TFSC-GFA-001,,journal_guidance,Technological Forecasting and Social Change Guide for Authors,Elsevier,https://www.sciencedirect.com/journal/technological-forecasting-and-social-change/publish/guide-for-authors,ISSN 0040-1625,current rendered page,2026-09-24T09:28:27Z,Rendered in existing Chrome session and extracted through local CDP after direct curl returned HTTP 403,data/raw/journal_requirements/tfsc_guide_for_authors_browser_2026-09-24.txt,62826,711182b5439308e6fda6029f789e741c8542fb6f53917873d33cdffd6441c0e7,Elsevier website terms; copyrighted source retained locally and excluded from Git,complete_rendered_text,Canonical Phase 1 guide capture
TFSC-GFA-002,,journal_guidance,Technological Forecasting and Social Change Guide for Authors excerpt,Elsevier,https://www.sciencedirect.com/journal/technological-forecasting-and-social-change/publish/guide-for-authors,ISSN 0040-1625,current web-tool extraction,2026-09-24T09:28:27Z,Extracted by authenticated web fetch before browser capture,data/raw/journal_requirements/tfsc_guide_for_authors_extracted_2026-09-24.txt,10169,a661538d6567632e4578df0afe8daf4a19a72a0585d2081e517bbea933b5bee7,Elsevier website terms; copyrighted source retained locally and excluded from Git,partial,Earlier partial capture superseded by TFSC-GFA-001
TFSC-GFA-003,,failed_capture,ScienceDirect robot-challenge response,Jina AI proxy and Elsevier,https://r.jina.ai/https://www.sciencedirect.com/journal/technological-forecasting-and-social-change/publish/guide-for-authors,,2026-09-24 response,2026-09-24T09:28:27Z,Unauthenticated proxy retrieval,data/raw/journal_requirements/tfsc_guide_for_authors_jina_2026-09-24.md,113037,824bf695115d92359e67db07989bd3dd8744109eec886fe58ca5163d2c24088e,Elsevier and proxy terms; excluded from Git,incomplete_robot_challenge,Retained to document failed access path; not used as evidence
TFSC-JOURNAL-001,,journal_metadata,Technological Forecasting and Social Change journal page,Elsevier,https://www.sciencedirect.com/journal/technological-forecasting-and-social-change,ISSN 0040-1625,current rendered page,2026-09-24T09:28:27Z,Rendered in existing Chrome session and extracted through local CDP,data/raw/journal_requirements/tfsc_journal_page_browser_2026-09-24.txt,7492,c52132df608ccca5b72430edd5ef8d4064290af914c7ead575712c7551c3dd73,Elsevier website terms; copyrighted source retained locally and excluded from Git,complete_rendered_text,Publishing model APC metrics and journal timing indicators
TFSC-SCOPE-001,,journal_scope,Technological Forecasting and Social Change scope page,Elsevier,https://shop.elsevier.com/journals/technological-forecasting-and-social-change/0040-1625,ISSN 0040-1625,current HTML,2026-09-24T09:28:27Z,HTTP GET with redirects and browser user agent,data/raw/journal_requirements/tfsc_scope_2026-09-24.html,199728,ba20e1436157c366311b3e1cf6849adaaf850220476c90f0ae3f659b5f6abf0b,Elsevier website terms; copyrighted source retained locally and excluded from Git,complete_html,Official scope corroboration
ELSEVIER-AI-001,,publisher_policy,Generative AI policies for journals,Elsevier,https://www.elsevier.com/about/policies-and-standards/generative-ai-policies-for-journals,,current HTML,2026-09-24T09:28:27Z,HTTP GET with redirects and browser user agent,data/raw/journal_requirements/elsevier_ai_policy_2026-09-24.html,345426,b31eda8809d5c05a87b6500bb0ee34399335c195ad6209f67d77bb116cab0777,Elsevier website terms; copyrighted source retained locally and excluded from Git,complete_html,Official AI use and disclosure policy
CROSSREF-PA001,,bibliographic_metadata,Crossref exact DOI metadata: A dynamic model of process and product innovation,Crossref,https://api.crossref.org/works/10.1016%2F0305-0483%2875%2990068-7,10.1016/0305-0483(75)90068-7,API response 2026-09-24,2026-09-24T10:10:00Z,Crossref REST API exact DOI lookup,data/raw/prior_art/doi/PA001_10-1016-0305-0483-75-90068-7_crossref_2026-09-24.json,5475,692adce00a5b209d2c0fd356bfae95290baef2a5549d3773651b002e3f3a1f39,Crossref metadata API terms,complete_exact_doi_record,Retained Phase 2 reference
CROSSREF-PA002,,bibliographic_metadata,"Crossref exact DOI metadata: Competing Technologies, Increasing Returns, and Lock-In by Historical Events",Crossref,https://api.crossref.org/works/10.2307%2F2234208,10.2307/2234208,API response 2026-09-24,2026-09-24T10:10:00Z,Crossref REST API exact DOI lookup,data/raw/prior_art/doi/PA002_10-2307-2234208_crossref_2026-09-24.json,1530,aa2d31c34063d3bdfced41995d573f21426395315fac46cfef4a164b979c60be,Crossref metadata API terms,complete_exact_doi_record,Retained Phase 2 reference
CROSSREF-PA003,,bibliographic_metadata,"Crossref exact DOI metadata: Standardization, Compatibility, and Innovation",Crossref,https://api.crossref.org/works/10.2307%2F2555589,10.2307/2555589,API response 2026-09-24,2026-09-24T10:10:00Z,Crossref REST API exact DOI lookup,data/raw/prior_art/doi/PA003_10-2307-2555589_crossref_2026-09-24.json,2159,7fd344e083b6ec3f60315302e0edf4d1f6ec6812e73b34d029668bfa6ac3c4c4,Crossref metadata API terms,complete_exact_doi_record,Retained Phase 2 reference
CROSSREF-PA004,,bibliographic_metadata,Crossref exact DOI metadata: Innovation: Mapping the winds of creative destruction,Crossref,https://api.crossref.org/works/10.1016%2F0048-7333%2885%2990021-6,10.1016/0048-7333(85)90021-6,API response 2026-09-24,2026-09-24T10:10:00Z,Crossref REST API exact DOI lookup,data/raw/prior_art/doi/PA004_10-1016-0048-7333-85-90021-6_crossref_2026-09-24.json,7305,dcf5933b3b5f9b5fed789471a9ed308616ef68fba2b726278bc88b51727fa660,Crossref metadata API terms,complete_exact_doi_record,Retained Phase 2 reference
CROSSREF-PA005,,bibliographic_metadata,Crossref exact DOI metadata: Technological Discontinuities and Organizational Environments,Crossref,https://api.crossref.org/works/10.2307%2F2392832,10.2307/2392832,API response 2026-09-24,2026-09-24T10:10:00Z,Crossref REST API exact DOI lookup,data/raw/prior_art/doi/PA005_10-2307-2392832_crossref_2026-09-24.json,1637,d1e1bf272a6a074aa4a6bfe9857066cdfb5a0348a0d7200897089224e08fbc34,Crossref metadata API terms,complete_exact_doi_record,Retained Phase 2 reference
CROSSREF-PA006,,bibliographic_metadata,Crossref exact DOI metadata: Architectural Innovation: The Reconfiguration of Existing Product Technologies and the Failure of Established Firms,Crossref,https://api.crossref.org/works/10.2307%2F2393549,10.2307/2393549,API response 2026-09-24,2026-09-24T10:10:00Z,Crossref REST API exact DOI lookup,data/raw/prior_art/doi/PA006_10-2307-2393549_crossref_2026-09-24.json,1687,9d6e070910948c48a0cc8e996c0e35264fb44d90ec5544baf1938489913bfaed,Crossref metadata API terms,complete_exact_doi_record,Retained Phase 2 reference
CROSSREF-PA007,,bibliographic_metadata,Crossref exact DOI metadata: Exploration and Exploitation in Organizational Learning,Crossref,https://api.crossref.org/works/10.1287%2Forsc.2.1.71,10.1287/orsc.2.1.71,API response 2026-09-24,2026-09-24T10:10:00Z,Crossref REST API exact DOI lookup,data/raw/prior_art/doi/PA007_10-1287-orsc-2-1-71_crossref_2026-09-24.json,2909,4472e5935ac226d73e772dcbaa43cc9ccc9a72ef368905c244744b4d08755c32,Crossref metadata API terms,complete_exact_doi_record,Retained Phase 2 reference
CROSSREF-PA008,,bibliographic_metadata,Crossref exact DOI metadata: The Duality of Technology: Rethinking the Concept of Technology in Organizations,Crossref,https://api.crossref.org/works/10.1287%2Forsc.3.3.398,10.1287/orsc.3.3.398,API response 2026-09-24,2026-09-24T10:10:00Z,Crossref REST API exact DOI lookup,data/raw/prior_art/doi/PA008_10-1287-orsc-3-3-398_crossref_2026-09-24.json,3302,d6173769f771a32e8d140e1583f1a9d4448884d8e191dff591cbd9f2ab466269,Crossref metadata API terms,complete_exact_doi_record,Retained Phase 2 reference
CROSSREF-PA009,,bibliographic_metadata,"Crossref exact DOI metadata: Path Dependence, Lock-In, and History",Crossref,https://api.crossref.org/works/10.1093%2Foxfordjournals.jleo.a036867,10.1093/oxfordjournals.jleo.a036867,API response 2026-09-24,2026-09-24T10:10:00Z,Crossref REST API exact DOI lookup,data/raw/prior_art/doi/PA009_10-1093-oxfordjournals-jleo-a036867_crossref_2026-09-24.json,1541,fb0a78ff09ac75fa2336c5a42a9e35afd7c2f4d8865186c9b8ab117b5694cdae,Crossref metadata API terms,complete_exact_doi_record,Retained Phase 2 reference
CROSSREF-PA010,,bibliographic_metadata,"Crossref exact DOI metadata: Increasing Returns, Path Dependence, and the Study of Politics",Crossref,https://api.crossref.org/works/10.2307%2F2586011,10.2307/2586011,API response 2026-09-24,2026-09-24T10:10:00Z,Crossref REST API exact DOI lookup,data/raw/prior_art/doi/PA010_10-2307-2586011_crossref_2026-09-24.json,14453,efdaa08c9443815132a415e63fa993280d8f53e438c818fe35d7ca2b4f208755,Crossref metadata API terms,complete_exact_doi_record,Retained Phase 2 reference
CROSSREF-PA011,,bibliographic_metadata,Crossref exact DOI metadata: Understanding carbon lock-in,Crossref,https://api.crossref.org/works/10.1016%2FS0301-4215%2800%2900070-7,10.1016/s0301-4215(00)00070-7,API response 2026-09-24,2026-09-24T10:10:00Z,Crossref REST API exact DOI lookup,data/raw/prior_art/doi/PA011_10-1016-s0301-4215-00-00070-7_crossref_2026-09-24.json,21557,4519fb924ac173f56b287246e538d6c222a0ffa171326b21d372d3204ce48c64,Crossref metadata API terms,complete_exact_doi_record,Retained Phase 2 reference
CROSSREF-PA012,,bibliographic_metadata,Crossref exact DOI metadata: Technological transitions as evolutionary reconfiguration processes: a multi-level perspective and a case-study,Crossref,https://api.crossref.org/works/10.1016%2FS0048-7333%2802%2900062-8,10.1016/s0048-7333(02)00062-8,API response 2026-09-24,2026-09-24T10:10:00Z,Crossref REST API exact DOI lookup,data/raw/prior_art/doi/PA012_10-1016-s0048-7333-02-00062-8_crossref_2026-09-24.json,17167,9f5b0557aed4c7b8eaef6b9210c9307484f8766a6adfe13abc8fa52e45bfa34b,Crossref metadata API terms,complete_exact_doi_record,Retained Phase 2 reference
CROSSREF-PA013,,bibliographic_metadata,Crossref exact DOI metadata: From sectoral systems of innovation to socio-technical systems,Crossref,https://api.crossref.org/works/10.1016%2Fj.respol.2004.01.015,10.1016/j.respol.2004.01.015,API response 2026-09-24,2026-09-24T10:10:00Z,Crossref REST API exact DOI lookup,data/raw/prior_art/doi/PA013_10-1016-j-respol-2004-01-015_crossref_2026-09-24.json,34302,ce646059b23cd623fb9e6b3829214dae53f5431937ae9a477bbed1fbfceb91cf,Crossref metadata API terms,complete_exact_doi_record,Retained Phase 2 reference
