reference_id,authors,year,title,container,doi,url,theoretical_stream,legacy_standard_relevance,technology_constraint_relevance,gap_for_this_project,verification_source,verification_status,raw_path
PA001,James M Utterback; William J Abernathy,1975,A dynamic model of process and product innovation,Omega,10.1016/0305-0483(75)90068-7,https://doi.org/10.1016/0305-0483(75)90068-7,technology lifecycle and dominant designs,Historical optima can be contingent on a technology lifecycle stage.,Direct,Operationalizes changed conditions as explicit decision problems rather than lifecycle description.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA001_10-1016-0305-0483-75-90068-7_crossref_2026-09-24.json
PA002,W. Brian Arthur,1989,"Competing Technologies, Increasing Returns, and Lock-In by Historical Events",The Economic Journal,10.2307/2234208,https://doi.org/10.2307/2234208,increasing returns and lock-in,Explains persistence after early events and increasing returns.,Supporting,Separates static current regret from transition-adjusted persistence.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA002_10-2307-2234208_crossref_2026-09-24.json
PA003,Joseph Farrell; Garth Saloner,1985,"Standardization, Compatibility, and Innovation",The RAND Journal of Economics,10.2307/2555589,https://doi.org/10.2307/2555589,compatibility and standardization,Shows compatibility and coordination benefits can rationalize standards.,Supporting,Makes compatibility costs explicit in break-even re-optimization.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA003_10-2307-2555589_crossref_2026-09-24.json
PA004,William J. Abernathy; Kim B. Clark,1985,Innovation: Mapping the winds of creative destruction,Research Policy,10.1016/0048-7333(85)90021-6,https://doi.org/10.1016/0048-7333(85)90021-6,technological discontinuity,Distinguishes competence-enhancing and competence-destroying change.,Supporting,Maps discontinuity to changes in objectives and feasible sets.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA004_10-1016-0048-7333-85-90021-6_crossref_2026-09-24.json
PA005,Michael L. Tushman; Philip Anderson,1986,Technological Discontinuities and Organizational Environments,Administrative Science Quarterly,10.2307/2392832,https://doi.org/10.2307/2392832,technological discontinuity,Connects discontinuities with organizational environments.,Supporting,Adds standard-level optimization regret and transition tests.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA005_10-2307-2392832_crossref_2026-09-24.json
PA006,Rebecca M. Henderson; Kim B. Clark,1990,Architectural Innovation: The Reconfiguration of Existing Product Technologies and the Failure of Established Firms,Administrative Science Quarterly,10.2307/2393549,https://doi.org/10.2307/2393549,architectural innovation,Shows incumbent failure can arise from reconfigured component linkages.,Supporting,Treats standards as architectures with measurable coordination constraints.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA006_10-2307-2393549_crossref_2026-09-24.json
PA007,James G. March,1991,Exploration and Exploitation in Organizational Learning,Organization Science,10.1287/orsc.2.1.71,https://doi.org/10.1287/orsc.2.1.71,organizational adaptation,Frames exploration–exploitation trade-offs and adaptive myopia.,Supporting,Adds a pre-specified audit of incumbent and contemporary decisions.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA007_10-1287-orsc-2-1-71_crossref_2026-09-24.json
PA008,Wanda J. Orlikowski,1992,The Duality of Technology: Rethinking the Concept of Technology in Organizations,Organization Science,10.1287/orsc.3.3.398,https://doi.org/10.1287/orsc.3.3.398,sociotechnical enactment,Technology and organizational structures recursively shape one another.,Supporting,Avoids purely technical optimality by modeling institutions and switching.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA008_10-1287-orsc-3-3-398_crossref_2026-09-24.json
PA009,Stan J. Liebowitz; Stephen E. Margolis,1995,"Path Dependence, Lock-In, and History","The Journal of Law, Economics, and Organization",10.1093/oxfordjournals.jleo.a036867,https://doi.org/10.1093/oxfordjournals.jleo.a036867,path-dependence critique,Warns against inferring inefficiency from historical persistence.,Supporting,Requires explicit counterfactuals and retains null cases.,Crossref exact DOI record plus OpenAlex author metadata,verified,data/raw/prior_art/doi/PA009_10-1093-oxfordjournals-jleo-a036867_crossref_2026-09-24.json
PA010,Paul Pierson,2000,"Increasing Returns, Path Dependence, and the Study of Politics",American Political Science Review,10.2307/2586011,https://doi.org/10.2307/2586011,institutional path dependence,Explains positive feedback and institutional persistence.,Supporting,Connects persistence mechanisms to quantified redesign thresholds.,Crossref exact DOI record,verified,data/raw/prior_art/doi/PA010_10-2307-2586011_crossref_2026-09-24.json
